N_day,date,sunrise,bin_1,bin_2,delta2_1,suma,active,avg_2_1
1920,2005-04-04,10:59:00,189.366,189.331,-0.035,-0.118,"[-0.022, -0.061, -0.035]",-0.03933333333333333
1921,2005-04-05,11:00:00,187.897,188.043,0.146,0.04999999999999999,"[-0.061, -0.035, 0.146]",0.016666666666666663
1922,2005-04-06,11:01:00,188.156,188.34,0.184,0.295,"[-0.035, 0.146, 0.184]",0.09833333333333333
1923,2005-04-07,11:01:00,187.854,188.061,0.207,0.5369999999999999,"[0.146, 0.184, 0.207]",0.17899999999999996
1931,2005-04-15,11:08:00,189.999,190.107,0.108,0.314,"[0.119, 0.087, 0.108]",0.10466666666666667
1932,2005-04-16,11:09:00,188.794,188.81,0.016,0.21100000000000002,"[0.087, 0.108, 0.016]",0.07033333333333334
1939,2005-04-23,11:14:00,190.255,190.216,-0.039,0.10900000000000001,"[0.081, 0.067, -0.039]",0.036333333333333336
1940,2005-04-24,11:15:00,192.315,192.386,0.071,0.099,"[0.067, -0.039, 0.071]",0.033
1941,2005-04-25,11:16:00,192.641,192.599,-0.042,-0.010000000000000009,"[-0.039, 0.071, -0.042]",-0.003333333333333336
1942,2005-04-26,11:17:00,191.024,191.115,0.091,0.12,"[0.071, -0.042, 0.091]",0.04
1943,2005-04-27,11:17:00,190.87,190.956,0.086,0.13499999999999998,"[-0.042, 0.091, 0.086]",0.04499999999999999
1944,2005-04-28,11:18:00,191.748,191.966,0.218,0.395,"[0.091, 0.086, 0.218]",0.13166666666666668
1945,2005-04-29,11:19:00,191.965,191.968,0.003,0.307,"[0.086, 0.218, 0.003]",0.10233333333333333
1946,2005-04-30,11:20:00,190.451,190.574,0.123,0.344,"[0.218, 0.003, 0.123]",0.11466666666666665
1947,2005-05-01,11:21:00,189.451,189.527,0.076,0.202,"[0.003, 0.123, 0.076]",0.06733333333333334
1948,2005-05-02,11:22:00,188.63,188.713,0.083,0.28200000000000003,"[0.123, 0.076, 0.083]",0.09400000000000001
1952,2005-05-06,11:25:00,192.854,192.944,0.09,0.232,"[0.042, 0.1, 0.09]",0.07733333333333334
1953,2005-05-07,11:26:00,191.53,191.546,0.016,0.20600000000000002,"[0.1, 0.09, 0.016]",0.06866666666666667
1954,2005-05-08,11:26:00,191.129,191.142,0.013,0.119,"[0.09, 0.016, 0.013]",0.03966666666666666
1955,2005-05-09,11:27:00,187.438,187.412,-0.026,0.002999999999999999,"[0.016, 0.013, -0.026]",0.0009999999999999998
1956,2005-05-10,11:28:00,188.557,188.554,-0.003,-0.016,"[0.013, -0.026, -0.003]",-0.005333333333333333
1964,2005-05-18,11:34:00,189.753,189.47,-0.283,-0.14699999999999996,"[0.02, 0.116, -0.283]",-0.04899999999999999
1970,2005-05-24,11:39:00,190.743,190.815,0.072,0.15599999999999997,"[0.037, 0.047, 0.072]",0.05199999999999999
1971,2005-05-25,11:39:00,189.361,189.552,0.191,0.31,"[0.047, 0.072, 0.191]",0.10333333333333333
1972,2005-05-26,11:40:00,190.679,190.658,-0.021,0.24200000000000002,"[0.072, 0.191, -0.021]",0.08066666666666668
1973,2005-05-27,11:41:00,189.815,189.737,-0.078,0.09200000000000001,"[0.191, -0.021, -0.078]",0.030666666666666672
1974,2005-05-28,11:41:00,189.093,188.969,-0.124,-0.223,"[-0.021, -0.078, -0.124]",-0.07433333333333333
1975,2005-05-29,11:42:00,189.071,188.871,-0.2,-0.402,"[-0.078, -0.124, -0.2]",-0.134
1976,2005-05-30,11:43:00,188.564,188.71,0.146,-0.17800000000000002,"[-0.124, -0.2, 0.146]",-0.05933333333333334
1984,2005-06-07,11:48:00,188.991,189.043,0.052,0.199,"[0.083, 0.064, 0.052]",0.06633333333333334
1985,2005-06-08,11:48:00,191.056,191.195,0.139,0.255,"[0.064, 0.052, 0.139]",0.085
1986,2005-06-09,11:49:00,190.011,190.042,0.031,0.222,"[0.052, 0.139, 0.031]",0.074
1987,2005-06-10,11:49:00,190.263,190.371,0.108,0.278,"[0.139, 0.031, 0.108]",0.09266666666666667
1996,2005-06-19,11:52:00,191.225,191.321,0.096,0.369,"[0.105, 0.168, 0.096]",0.123
2000,2005-06-23,11:53:00,190.777,190.866,0.089,0.211,"[0.094, 0.028, 0.089]",0.07033333333333333
2001,2005-06-24,11:53:00,191.098,191.163,0.065,0.182,"[0.028, 0.089, 0.065]",0.06066666666666667
2002,2005-06-25,11:54:00,191.229,191.368,0.139,0.29300000000000004,"[0.089, 0.065, 0.139]",0.09766666666666668
2011,2005-07-04,11:54:00,193.222,193.31,0.088,0.16,"[0.123, -0.051, 0.088]",0.05333333333333334
2012,2005-07-05,11:53:00,193.476,193.569,0.093,0.13,"[-0.051, 0.088, 0.093]",0.043333333333333335
2013,2005-07-06,11:53:00,192.881,192.896,0.015,0.196,"[0.088, 0.093, 0.015]",0.06533333333333334
2024,2005-07-17,11:50:00,189.023,189.189,0.166,0.248,"[-0.009, 0.091, 0.166]",0.08266666666666667
2025,2005-07-18,11:49:00,188.393,188.568,0.175,0.432,"[0.091, 0.166, 0.175]",0.144
2026,2005-07-19,11:49:00,188.706,188.922,0.216,0.5569999999999999,"[0.166, 0.175, 0.216]",0.18566666666666665
2027,2005-07-20,11:48:00,189.306,189.612,0.306,0.6970000000000001,"[0.175, 0.216, 0.306]",0.23233333333333336
2036,2005-07-29,11:42:00,187.999,187.996,-0.003,0.075,"[0.073, 0.005, -0.003]",0.024999999999999998
2037,2005-07-30,11:41:00,189.04,188.996,-0.044,-0.041999999999999996,"[0.005, -0.003, -0.044]",-0.013999999999999999
2038,2005-07-31,11:40:00,190.697,190.719,0.022,-0.025,"[-0.003, -0.044, 0.022]",-0.008333333333333333
2039,2005-08-01,11:39:00,188.574,188.497,-0.077,-0.099,"[-0.044, 0.022, -0.077]",-0.033
2040,2005-08-02,11:38:00,188.585,188.8,0.215,0.16,"[0.022, -0.077, 0.215]",0.05333333333333334
2041,2005-08-03,11:38:00,188.233,188.19,-0.043,0.09500000000000001,"[-0.077, 0.215, -0.043]",0.03166666666666667
2042,2005-08-04,11:37:00,190.46,190.52,0.06,0.23199999999999998,"[0.215, -0.043, 0.06]",0.07733333333333332
2043,2005-08-05,11:36:00,191.288,191.309,0.021,0.038000000000000006,"[-0.043, 0.06, 0.021]",0.012666666666666668
2044,2005-08-06,11:35:00,191.321,191.332,0.011,0.092,"[0.06, 0.021, 0.011]",0.030666666666666665
2048,2005-08-10,11:31:00,191.17,191.184,0.014,0.15000000000000002,"[0.062, 0.074, 0.014]",0.05000000000000001
2049,2005-08-11,11:30:00,190.003,190.094,0.091,0.179,"[0.074, 0.014, 0.091]",0.059666666666666666
2050,2005-08-12,11:28:00,189.592,189.81,0.218,0.323,"[0.014, 0.091, 0.218]",0.10766666666666667
2051,2005-08-13,11:27:00,190.366,190.4,0.034,0.34299999999999997,"[0.091, 0.218, 0.034]",0.11433333333333333
2052,2005-08-14,11:26:00,191.334,191.409,0.075,0.327,"[0.218, 0.034, 0.075]",0.109
2053,2005-08-15,11:25:00,191.18,191.269,0.089,0.198,"[0.034, 0.075, 0.089]",0.066
2054,2005-08-16,11:24:00,189.387,189.64,0.253,0.417,"[0.075, 0.089, 0.253]",0.13899999999999998
2055,2005-08-17,11:23:00,192.754,192.769,0.015,0.357,"[0.089, 0.253, 0.015]",0.119
2056,2005-08-18,11:22:00,192.236,192.344,0.108,0.376,"[0.253, 0.015, 0.108]",0.12533333333333332
2057,2005-08-19,11:20:00,192.981,193.047,0.066,0.189,"[0.015, 0.108, 0.066]",0.063
2058,2005-08-20,11:19:00,192.095,192.201,0.106,0.27999999999999997,"[0.108, 0.066, 0.106]",0.09333333333333332
2059,2005-08-21,11:18:00,192.078,192.128,0.05,0.22199999999999998,"[0.066, 0.106, 0.05]",0.074
2060,2005-08-22,11:17:00,193.053,193.152,0.099,0.255,"[0.106, 0.05, 0.099]",0.085
2061,2005-08-23,11:15:00,195.078,195.251,0.173,0.322,"[0.05, 0.099, 0.173]",0.10733333333333334
2062,2005-08-24,11:14:00,193.246,193.359,0.113,0.385,"[0.099, 0.173, 0.113]",0.12833333333333333
2063,2005-08-25,11:13:00,190.406,190.507,0.101,0.387,"[0.173, 0.113, 0.101]",0.129
2064,2005-08-26,11:12:00,191.104,191.119,0.015,0.22900000000000004,"[0.113, 0.101, 0.015]",0.07633333333333335
2065,2005-08-27,11:10:00,190.136,190.346,0.21,0.326,"[0.101, 0.015, 0.21]",0.10866666666666668
2066,2005-08-28,11:09:00,191.49,191.491,0.001,0.22599999999999998,"[0.015, 0.21, 0.001]",0.07533333333333332
2067,2005-08-29,11:08:00,192.801,192.861,0.06,0.271,"[0.21, 0.001, 0.06]",0.09033333333333333
2071,2005-09-02,11:02:00,193.695,193.723,0.028,0.15,"[0.022, 0.1, 0.028]",0.049999999999999996
2072,2005-09-03,11:01:00,191.92,192.174,0.254,0.382,"[0.1, 0.028, 0.254]",0.12733333333333333
2073,2005-09-04,10:59:00,193.338,193.379,0.041,0.323,"[0.028, 0.254, 0.041]",0.10766666666666667
2074,2005-09-05,10:58:00,192.663,192.698,0.035,0.32999999999999996,"[0.254, 0.041, 0.035]",0.10999999999999999
2075,2005-09-06,10:57:00,192.155,192.175,0.02,0.09600000000000002,"[0.041, 0.035, 0.02]",0.03200000000000001
2081,2005-09-12,10:48:00,189.51,189.998,0.488,0.536,"[0.057, -0.009, 0.488]",0.17866666666666667
2082,2005-09-13,10:47:00,187.685,187.595,-0.09,0.389,"[-0.009, 0.488, -0.09]",0.12966666666666668
2083,2005-09-14,10:45:00,188.352,188.408,0.056,0.454,"[0.488, -0.09, 0.056]",0.15133333333333335
2084,2005-09-15,10:44:00,188.093,188.14,0.047,0.013000000000000005,"[-0.09, 0.056, 0.047]",0.004333333333333335
2085,2005-09-16,10:42:00,189.276,189.445,0.169,0.272,"[0.056, 0.047, 0.169]",0.09066666666666667
2086,2005-09-17,10:41:00,190.568,190.593,0.025,0.24100000000000002,"[0.047, 0.169, 0.025]",0.08033333333333334
2090,2005-09-21,10:35:00,193.406,193.607,0.201,0.313,"[0.052, 0.06, 0.201]",0.10433333333333333
2091,2005-09-22,10:34:00,193.748,193.776,0.028,0.28900000000000003,"[0.06, 0.201, 0.028]",0.09633333333333334
2092,2005-09-23,10:32:00,194.393,194.465,0.072,0.301,"[0.201, 0.028, 0.072]",0.10033333333333333
2093,2005-09-24,10:31:00,194.601,194.518,-0.083,0.016999999999999987,"[0.028, 0.072, -0.083]",0.005666666666666663
2094,2005-09-25,10:29:00,194.003,194.164,0.161,0.15,"[0.072, -0.083, 0.161]",0.049999999999999996
2095,2005-09-26,10:28:00,194.459,194.476,0.017,0.095,"[-0.083, 0.161, 0.017]",0.03166666666666667
2096,2005-09-27,10:26:00,194.947,195.01,0.063,0.241,"[0.161, 0.017, 0.063]",0.08033333333333333
2097,2005-09-28,10:25:00,195.505,195.611,0.106,0.186,"[0.017, 0.063, 0.106]",0.062
2098,2005-09-29,10:23:00,195.238,195.425,0.187,0.356,"[0.063, 0.106, 0.187]",0.11866666666666666
2099,2005-09-30,10:22:00,194.385,194.508,0.123,0.416,"[0.106, 0.187, 0.123]",0.13866666666666666
2100,2005-10-01,10:21:00,194.877,195.029,0.152,0.46199999999999997,"[0.187, 0.123, 0.152]",0.154
2101,2005-10-02,10:19:00,195.481,195.403,-0.078,0.197,"[0.123, 0.152, -0.078]",0.06566666666666666
2102,2005-10-03,10:18:00,195.917,196.096,0.179,0.253,"[0.152, -0.078, 0.179]",0.08433333333333333
2106,2005-10-07,10:12:00,196.914,197.009,0.095,0.19,"[0.086, 0.009, 0.095]",0.06333333333333334
2107,2005-10-08,10:11:00,194.723,195.416,0.693,0.7969999999999999,"[0.009, 0.095, 0.693]",0.26566666666666666
2108,2005-10-09,10:09:00,194.956,195.04,0.084,0.8719999999999999,"[0.095, 0.693, 0.084]",0.29066666666666663
2109,2005-10-10,10:08:00,194.84,195.106,0.266,1.043,"[0.693, 0.084, 0.266]",0.3476666666666666
2110,2005-10-11,10:07:00,194.65,194.646,-0.004,0.34600000000000003,"[0.084, 0.266, -0.004]",0.11533333333333334
2111,2005-10-12,10:05:00,194.312,194.321,0.009,0.271,"[0.266, -0.004, 0.009]",0.09033333333333333
2112,2005-10-13,10:04:00,194.524,194.57,0.046,0.051,"[-0.004, 0.009, 0.046]",0.016999999999999998
2113,2005-10-14,10:03:00,194.891,194.88,-0.011,0.044,"[0.009, 0.046, -0.011]",0.014666666666666666
2114,2005-10-15,10:01:00,195.786,195.844,0.058,0.093,"[0.046, -0.011, 0.058]",0.031
2119,2005-10-20,09:55:00,195.326,195.527,0.201,0.008000000000000007,"[-0.146, -0.047, 0.201]",0.002666666666666669
2120,2005-10-21,09:54:00,194.973,195.007,0.034,0.18800000000000003,"[-0.047, 0.201, 0.034]",0.06266666666666668
2121,2005-10-22,09:53:00,194.92,194.935,0.015,0.25,"[0.201, 0.034, 0.015]",0.08333333333333333
2122,2005-10-23,09:51:00,194.872,195.069,0.197,0.246,"[0.034, 0.015, 0.197]",0.082
2123,2005-10-24,09:50:00,195.805,196.038,0.233,0.44500000000000006,"[0.015, 0.197, 0.233]",0.14833333333333334
2124,2005-10-25,09:49:00,196.064,196.057,-0.007,0.42300000000000004,"[0.197, 0.233, -0.007]",0.14100000000000001
2125,2005-10-26,09:48:00,196.118,196.14,0.022,0.248,"[0.233, -0.007, 0.022]",0.08266666666666667
2126,2005-10-27,09:47:00,195.936,195.961,0.025,0.04,"[-0.007, 0.022, 0.025]",0.013333333333333334
2127,2005-10-28,09:46:00,196.305,196.353,0.048,0.095,"[0.022, 0.025, 0.048]",0.03166666666666667
2128,2005-10-29,09:45:00,195.762,195.771,0.009,0.082,"[0.025, 0.048, 0.009]",0.027333333333333334
2129,2005-10-30,09:44:00,195.467,195.462,-0.005,0.052000000000000005,"[0.048, 0.009, -0.005]",0.017333333333333336
2130,2005-10-31,09:43:00,196.275,196.316,0.041,0.045,"[0.009, -0.005, 0.041]",0.015
2131,2005-11-01,09:42:00,196.335,196.46,0.125,0.161,"[-0.005, 0.041, 0.125]",0.05366666666666667
2132,2005-11-02,09:41:00,195.78,195.857,0.077,0.243,"[0.041, 0.125, 0.077]",0.081
2133,2005-11-03,09:40:00,195.921,196.012,0.091,0.29300000000000004,"[0.125, 0.077, 0.091]",0.09766666666666668
2134,2005-11-04,09:39:00,195.86,195.964,0.104,0.27199999999999996,"[0.077, 0.091, 0.104]",0.09066666666666666
2135,2005-11-05,09:38:00,195.795,195.69,-0.105,0.09000000000000001,"[0.091, 0.104, -0.105]",0.030000000000000002
2136,2005-11-06,09:37:00,196.124,196.331,0.207,0.206,"[0.104, -0.105, 0.207]",0.06866666666666667
2137,2005-11-07,09:36:00,196.289,196.337,0.048,0.15,"[-0.105, 0.207, 0.048]",0.049999999999999996
2138,2005-11-08,09:35:00,196.573,196.649,0.076,0.331,"[0.207, 0.048, 0.076]",0.11033333333333334
2139,2005-11-09,09:34:00,197.015,197.02,0.005,0.129,"[0.048, 0.076, 0.005]",0.043000000000000003
2140,2005-11-10,09:33:00,197.625,197.662,0.037,0.118,"[0.076, 0.005, 0.037]",0.03933333333333333
2141,2005-11-11,09:33:00,196.822,196.932,0.11,0.152,"[0.005, 0.037, 0.11]",0.050666666666666665
2142,2005-11-12,09:32:00,196.681,196.684,0.003,0.15,"[0.037, 0.11, 0.003]",0.049999999999999996
2146,2005-11-16,09:29:00,196.356,196.395,0.039,0.022,"[0.039, -0.056, 0.039]",0.007333333333333333
2147,2005-11-17,09:28:00,197.418,197.321,-0.097,-0.114,"[-0.056, 0.039, -0.097]",-0.038
2148,2005-11-18,09:28:00,197.119,197.1,-0.019,-0.077,"[0.039, -0.097, -0.019]",-0.025666666666666667
2149,2005-11-19,09:27:00,196.87,197.104,0.234,0.11800000000000001,"[-0.097, -0.019, 0.234]",0.03933333333333334
2154,2005-11-24,09:25:00,195.628,195.67,0.042,0.07100000000000001,"[0.013, 0.016, 0.042]",0.02366666666666667
2155,2005-11-25,09:25:00,196.481,196.527,0.046,0.10400000000000001,"[0.016, 0.042, 0.046]",0.03466666666666667
2156,2005-11-26,09:24:00,196.564,196.561,-0.003,0.08499999999999999,"[0.042, 0.046, -0.003]",0.028333333333333332
2157,2005-11-27,09:24:00,197.163,197.223,0.06,0.103,"[0.046, -0.003, 0.06]",0.034333333333333334
2158,2005-11-28,09:24:00,197.552,197.542,-0.01,0.04699999999999999,"[-0.003, 0.06, -0.01]",0.015666666666666666
2159,2005-11-29,09:23:00,196.739,196.793,0.054,0.104,"[0.06, -0.01, 0.054]",0.034666666666666665
2160,2005-11-30,09:23:00,196.426,196.403,-0.023,0.020999999999999998,"[-0.01, 0.054, -0.023]",0.006999999999999999
2161,2005-12-01,09:23:00,195.731,195.666,-0.065,-0.034,"[0.054, -0.023, -0.065]",-0.011333333333333334
2162,2005-12-02,09:23:00,196.208,196.239,0.031,-0.056999999999999995,"[-0.023, -0.065, 0.031]",-0.019
2163,2005-12-03,09:23:00,196.119,196.442,0.323,0.28900000000000003,"[-0.065, 0.031, 0.323]",0.09633333333333334
2164,2005-12-04,09:23:00,195.779,195.784,0.005,0.359,"[0.031, 0.323, 0.005]",0.11966666666666666
2165,2005-12-05,09:23:00,195.713,195.814,0.101,0.42900000000000005,"[0.323, 0.005, 0.101]",0.14300000000000002
2166,2005-12-06,09:23:00,195.255,195.315,0.06,0.166,"[0.005, 0.101, 0.06]",0.05533333333333334
2167,2005-12-07,09:23:00,196.121,196.24,0.119,0.28,"[0.101, 0.06, 0.119]",0.09333333333333334
2168,2005-12-08,09:23:00,196.561,196.636,0.075,0.254,"[0.06, 0.119, 0.075]",0.08466666666666667
2169,2005-12-09,09:23:00,196.691,196.77,0.079,0.273,"[0.119, 0.075, 0.079]",0.09100000000000001
2170,2005-12-10,09:23:00,195.722,195.704,-0.018,0.136,"[0.075, 0.079, -0.018]",0.04533333333333334
2171,2005-12-11,09:23:00,196.514,196.623,0.109,0.16999999999999998,"[0.079, -0.018, 0.109]",0.056666666666666664
2176,2005-12-16,09:24:00,195.329,195.39,0.061,0.11099999999999999,"[-0.134, 0.184, 0.061]",0.037
2177,2005-12-17,09:25:00,194.981,194.907,-0.074,0.17099999999999999,"[0.184, 0.061, -0.074]",0.056999999999999995
2178,2005-12-18,09:25:00,195.773,195.782,0.009,-0.003999999999999998,"[0.061, -0.074, 0.009]",-0.0013333333333333329
2179,2005-12-19,09:25:00,195.281,195.252,-0.029,-0.094,"[-0.074, 0.009, -0.029]",-0.03133333333333333
2180,2005-12-20,09:26:00,195.036,195.035,-0.001,-0.021000000000000005,"[0.009, -0.029, -0.001]",-0.007000000000000002
2181,2005-12-21,09:26:00,195.988,196.096,0.108,0.078,"[-0.029, -0.001, 0.108]",0.026
2182,2005-12-22,09:27:00,195.79,195.837,0.047,0.154,"[-0.001, 0.108, 0.047]",0.051333333333333335
2183,2005-12-23,09:27:00,195.54,195.447,-0.093,0.062,"[0.108, 0.047, -0.093]",0.020666666666666667
2184,2005-12-24,09:28:00,195.303,195.292,-0.011,-0.056999999999999995,"[0.047, -0.093, -0.011]",-0.019
2185,2005-12-25,09:28:00,196.098,196.142,0.044,-0.06,"[-0.093, -0.011, 0.044]",-0.02
2186,2005-12-26,09:29:00,196.241,196.295,0.054,0.087,"[-0.011, 0.044, 0.054]",0.028999999999999998
2190,2005-12-30,09:32:00,195.225,195.101,-0.124,0.087,"[0.087, 0.124, -0.124]",0.028999999999999998
2191,2005-12-31,09:32:00,195.508,195.521,0.013,0.013,"[0.124, -0.124, 0.013]",0.004333333333333333
2192,2006-01-01,09:33:00,195.734,195.687,-0.047,-0.158,"[-0.124, 0.013, -0.047]",-0.05266666666666667
2193,2006-01-02,09:34:00,195.491,195.595,0.104,0.06999999999999999,"[0.013, -0.047, 0.104]",0.02333333333333333
2194,2006-01-03,09:35:00,195.428,195.32,-0.108,-0.051000000000000004,"[-0.047, 0.104, -0.108]",-0.017
2195,2006-01-04,09:36:00,196.99,196.975,-0.015,-0.019000000000000003,"[0.104, -0.108, -0.015]",-0.006333333333333334
2219,2006-01-28,09:59:00,194.112,194.144,0.032,0.089,"[0.105, -0.048, 0.032]",0.029666666666666664
2220,2006-01-29,10:00:00,194.543,194.464,-0.079,-0.095,"[-0.048, 0.032, -0.079]",-0.03166666666666667
2221,2006-01-30,10:01:00,194.315,194.233,-0.082,-0.129,"[0.032, -0.079, -0.082]",-0.043000000000000003
2222,2006-01-31,10:02:00,195.197,195.088,-0.109,-0.27,"[-0.079, -0.082, -0.109]",-0.09000000000000001
2223,2006-02-01,10:03:00,194.576,194.575,-0.001,-0.192,"[-0.082, -0.109, -0.001]",-0.064
2224,2006-02-02,10:04:00,195.275,195.141,-0.134,-0.244,"[-0.109, -0.001, -0.134]",-0.08133333333333333
2225,2006-02-03,10:05:00,194.704,194.726,0.022,-0.11300000000000002,"[-0.001, -0.134, 0.022]",-0.037666666666666675
2226,2006-02-04,10:06:00,195.102,195.212,0.11,-0.0020000000000000157,"[-0.134, 0.022, 0.11]",-0.0006666666666666718
2227,2006-02-05,10:07:00,194.553,194.572,0.019,0.151,"[0.022, 0.11, 0.019]",0.050333333333333334
2228,2006-02-06,10:08:00,194.891,195.008,0.117,0.246,"[0.11, 0.019, 0.117]",0.082
2229,2006-02-07,10:09:00,196.05,196.134,0.084,0.22000000000000003,"[0.019, 0.117, 0.084]",0.07333333333333335
2230,2006-02-08,10:10:00,195.496,195.496,0.0,0.201,"[0.117, 0.084, 0.0]",0.067
2231,2006-02-09,10:11:00,195.756,195.731,-0.025,0.059000000000000004,"[0.084, 0.0, -0.025]",0.01966666666666667
2232,2006-02-10,10:12:00,194.934,195.008,0.074,0.048999999999999995,"[0.0, -0.025, 0.074]",0.01633333333333333
2233,2006-02-11,10:13:00,195.879,196.033,0.154,0.20299999999999999,"[-0.025, 0.074, 0.154]",0.06766666666666667
2234,2006-02-12,10:14:00,195.74,195.704,-0.036,0.19199999999999998,"[0.074, 0.154, -0.036]",0.06399999999999999
2235,2006-02-13,10:15:00,196.317,196.373,0.056,0.174,"[0.154, -0.036, 0.056]",0.057999999999999996
2236,2006-02-14,10:16:00,196.61,196.706,0.096,0.116,"[-0.036, 0.056, 0.096]",0.03866666666666667
2237,2006-02-15,10:17:00,196.873,197.109,0.236,0.388,"[0.056, 0.096, 0.236]",0.12933333333333333
2238,2006-02-16,10:18:00,195.868,195.941,0.073,0.40499999999999997,"[0.096, 0.236, 0.073]",0.13499999999999998
2239,2006-02-17,10:19:00,196.805,196.824,0.019,0.328,"[0.236, 0.073, 0.019]",0.10933333333333334
2240,2006-02-18,10:20:00,196.919,197.086,0.167,0.259,"[0.073, 0.019, 0.167]",0.08633333333333333
2241,2006-02-19,10:21:00,196.946,197.08,0.134,0.32,"[0.019, 0.167, 0.134]",0.10666666666666667
2242,2006-02-20,10:22:00,195.743,195.833,0.09,0.391,"[0.167, 0.134, 0.09]",0.13033333333333333
2243,2006-02-21,10:23:00,196.103,196.247,0.144,0.368,"[0.134, 0.09, 0.144]",0.12266666666666666
2244,2006-02-22,10:24:00,196.234,196.159,-0.075,0.15899999999999997,"[0.09, 0.144, -0.075]",0.05299999999999999
2245,2006-02-23,10:25:00,194.528,194.718,0.19,0.259,"[0.144, -0.075, 0.19]",0.08633333333333333
2246,2006-02-24,10:26:00,194.101,194.306,0.205,0.32,"[-0.075, 0.19, 0.205]",0.10666666666666667
2247,2006-02-25,10:27:00,194.955,194.928,-0.027,0.368,"[0.19, 0.205, -0.027]",0.12266666666666666
2248,2006-02-26,10:28:00,196.003,195.796,-0.207,-0.028999999999999998,"[0.205, -0.027, -0.207]",-0.009666666666666665
2256,2006-03-06,10:35:00,195.981,195.997,0.016,0.243,"[0.158, 0.069, 0.016]",0.081
2257,2006-03-07,10:36:00,196.134,196.324,0.19,0.275,"[0.069, 0.016, 0.19]",0.09166666666666667
2264,2006-03-14,10:42:00,195.738,195.703,-0.035,-0.013000000000000001,"[-0.007, 0.029, -0.035]",-0.004333333333333334
2265,2006-03-15,10:43:00,195.053,195.068,0.015,0.008999999999999998,"[0.029, -0.035, 0.015]",0.002999999999999999
2266,2006-03-16,10:44:00,194.323,194.293,-0.03,-0.05,"[-0.035, 0.015, -0.03]",-0.016666666666666666
2267,2006-03-17,10:44:00,195.24,195.307,0.067,0.052000000000000005,"[0.015, -0.03, 0.067]",0.017333333333333336
2268,2006-03-18,10:45:00,195.07,195.167,0.097,0.134,"[-0.03, 0.067, 0.097]",0.04466666666666667
2269,2006-03-19,10:46:00,195.869,195.666,-0.203,-0.03900000000000001,"[0.067, 0.097, -0.203]",-0.013000000000000003
2270,2006-03-20,10:47:00,195.002,195.084,0.082,-0.024000000000000007,"[0.097, -0.203, 0.082]",-0.008000000000000002
2271,2006-03-21,10:48:00,196.255,196.095,-0.16,-0.281,"[-0.203, 0.082, -0.16]",-0.09366666666666668
2272,2006-03-22,10:48:00,196.056,196.151,0.095,0.017,"[0.082, -0.16, 0.095]",0.005666666666666667
2273,2006-03-23,10:49:00,195.99,196.143,0.153,0.088,"[-0.16, 0.095, 0.153]",0.029333333333333333
2274,2006-03-24,10:50:00,195.444,195.595,0.151,0.399,"[0.095, 0.153, 0.151]",0.133
2275,2006-03-25,10:51:00,195.007,195.001,-0.006,0.298,"[0.153, 0.151, -0.006]",0.09933333333333333
2276,2006-03-26,10:52:00,195.45,195.69,0.24,0.385,"[0.151, -0.006, 0.24]",0.12833333333333333
2277,2006-03-27,10:53:00,195.533,195.522,-0.011,0.22299999999999998,"[-0.006, 0.24, -0.011]",0.07433333333333332
2278,2006-03-28,10:53:00,194.838,194.873,0.035,0.264,"[0.24, -0.011, 0.035]",0.08800000000000001
2279,2006-03-29,10:54:00,195.555,195.499,-0.056,-0.032,"[-0.011, 0.035, -0.056]",-0.010666666666666666
2280,2006-03-30,10:55:00,195.817,195.88,0.063,0.042,"[0.035, -0.056, 0.063]",0.014
2281,2006-03-31,10:56:00,196.352,196.553,0.201,0.20800000000000002,"[-0.056, 0.063, 0.201]",0.06933333333333334
2282,2006-04-01,10:57:00,195.575,195.53,-0.045,0.21900000000000003,"[0.063, 0.201, -0.045]",0.07300000000000001
2288,2006-04-07,11:01:00,196.987,197.09,0.103,0.43,"[0.167, 0.16, 0.103]",0.14333333333333334
2289,2006-04-08,11:02:00,195.563,195.721,0.158,0.42100000000000004,"[0.16, 0.103, 0.158]",0.14033333333333334
2290,2006-04-09,11:03:00,196.751,196.856,0.105,0.366,"[0.103, 0.158, 0.105]",0.122
2291,2006-04-10,11:04:00,196.085,196.236,0.151,0.41400000000000003,"[0.158, 0.105, 0.151]",0.138
2292,2006-04-11,11:05:00,196.548,196.626,0.078,0.334,"[0.105, 0.151, 0.078]",0.11133333333333334
2293,2006-04-12,11:05:00,197.075,197.077,0.002,0.23099999999999998,"[0.151, 0.078, 0.002]",0.077
2294,2006-04-13,11:06:00,197.601,197.97,0.369,0.449,"[0.078, 0.002, 0.369]",0.14966666666666667
2295,2006-04-14,11:07:00,195.199,195.117,-0.082,0.289,"[0.002, 0.369, -0.082]",0.09633333333333333
2296,2006-04-15,11:08:00,195.608,195.657,0.049,0.33599999999999997,"[0.369, -0.082, 0.049]",0.11199999999999999
2297,2006-04-16,11:09:00,195.14,195.226,0.086,0.05299999999999999,"[-0.082, 0.049, 0.086]",0.017666666666666664
2298,2006-04-17,11:09:00,195.45,195.639,0.189,0.324,"[0.049, 0.086, 0.189]",0.108
2299,2006-04-18,11:10:00,196.062,196.117,0.055,0.33,"[0.086, 0.189, 0.055]",0.11
2300,2006-04-19,11:11:00,196.398,196.744,0.346,0.59,"[0.189, 0.055, 0.346]",0.19666666666666666
