bin,value
1,0.001666666666666668
1,-0.0075
1,0.0232
1,0.049999999999999996
1,0.07242857142857143
1,0.07242857142857143
1,0.07242857142857143
1,0.07242857142857143
1,0.064875
1,0.064875
1,0.07088888888888889
1,0.0725
1,0.07572727272727273
1,0.07075
1,0.07075
1,0.06876923076923078
1,0.06507142857142857
1,0.06507142857142857
1,0.06613333333333334
1,0.0661875
1,0.06
1,0.06061111111111111
1,0.05521052631578947
1,0.056999999999999995
1,0.05838095238095238
1,0.06563636363636363
1,0.06291304347826086
1,0.06541666666666666
1,0.06584
1,0.06649999999999999
1,0.06649999999999999
1,0.06559259259259259
1,0.06682142857142857
1,0.06762068965517241
1,0.0659
1,0.06419354838709677
1,0.061375
1,0.05942424242424243
1,0.05942424242424243
1,0.06276470588235294
1,0.06276470588235294
1,0.061485714285714275
1,0.061485714285714275
1,0.06033333333333332
1,0.061837837837837833
1,0.05276315789473684
1,0.05276315789473684
1,0.05366666666666667
1,0.05366666666666667
1,0.05325
1,0.053097560975609755
1,0.05354761904761905
1,0.05674418604651163
1,0.05497727272727273
1,0.05202222222222223
1,0.04819565217391304
1,0.04291489361702128
1,0.0450625
1,0.0450625
1,0.0450625
1,0.0466734693877551
1,0.048119999999999996
1,0.048119999999999996
1,0.04880392156862745
1,0.049096153846153845
1,0.049150943396226415
1,0.05081481481481481
1,0.05045454545454545
1,0.05148214285714286
1,0.05148214285714286
1,0.05148214285714286
1,0.05148214285714286
1,0.0508421052631579
1,0.05177586206896552
1,0.05177586206896552
1,0.052677966101694916
1,0.0546
1,0.05527868852459017
1,0.05527868852459017
1,0.055903225806451615
1,0.05546031746031747
1,0.055984375
1,0.05612307692307693
1,0.057378787878787876
1,0.057378787878787876
1,0.057378787878787876
1,0.05728358208955224
1,0.05728358208955224
1,0.05728358208955224
1,0.05728358208955224
1,0.05825
1,0.05666666666666667
1,0.057114285714285715
1,0.05761971830985916
1,0.057027777777777774
1,0.057027777777777774
1,0.05641095890410958
1,0.05650684931506849
1,0.05650684931506849
1,0.05759722222222222
1,0.05926760563380281
1,0.060614285714285704
1,0.05937681159420292
1,0.05657971014492755
1,0.054898550724637694
1,0.0564857142857143
1,0.058154929577464806
1,0.060347222222222247
1,0.06443055555555559
1,0.06443055555555559
1,0.06437500000000002
1,0.0647638888888889
1,0.06415492957746481
1,0.06484285714285716
1,0.06484285714285716
1,0.06524285714285717
1,0.0650714285714286
1,0.06411267605633805
1,0.06235211267605636
1,0.06171830985915496
1,0.06118309859154932
1,0.06321126760563384
1,0.06319718309859157
1,0.06276056338028171
1,0.061845070422535224
