pa date,eq date,pa mean,eq sum,pa delta3,eq median,pa median,eq diff,A,B,c
2014-06-21 22:07:12,2014-07-06 22:07:12,180.88008120649653,1118.8,1.7143414804691304,856.1949999999999,0.46211862197920084,262.605,0.30671167199060956,2.7097433406314666,1.0
2014-06-26 22:07:12,2014-07-11 22:07:12,181.113273364486,1082.3,0.23319215798946402,856.1949999999999,0.46211862197920084,226.105,0.2640811964564147,-0.4953846330824565,-1.0
2014-07-01 22:07:12,2014-07-16 22:07:12,181.7069126984127,980.5,0.593639333926717,856.1949999999999,0.46211862197920084,124.305,0.14518304825419448,0.28460379152051485,1.0
2014-07-06 22:07:12,2014-07-21 22:07:12,181.47473469387756,952.1,0.23217800453514315,856.1949999999999,0.46211862197920084,95.905,0.11201303441388943,-0.4975792069561026,-1.0
2014-07-11 22:07:12,2014-07-26 22:07:12,180.09016783216782,1063.6,1.384566861709743,856.1949999999999,0.46211862197920084,207.405,0.2422403774841011,1.996128690464372,1.0
2014-07-16 22:07:12,2014-07-31 22:07:12,180.5176943620178,1104.0,0.4275265298499846,856.1949999999999,0.46211862197920084,247.805,0.28942589013016895,-0.07485543859077193,-1.0
2014-07-21 22:07:12,2014-08-05 22:07:12,181.75106864988558,801.07,1.2333742878677754,856.1949999999999,0.46211862197920084,-55.125,-0.06438369763897234,1.6689560411683377,-1.0
2014-07-26 22:07:12,2014-08-10 22:07:12,180.95447018348625,867.8,0.7965984663993311,856.1949999999999,0.46211862197920084,11.605,0.013554155303406423,0.7237965070258185,1.0
2014-07-31 22:07:12,2014-08-15 22:07:12,180.32082710280375,1154.8,0.6336430806825035,856.1949999999999,0.46211862197920084,298.605,0.34875816840789775,0.3711697614969143,1.0
2014-08-05 22:07:12,2014-08-20 22:07:12,180.95213615023474,1103.3799999999999,0.6313090474309888,856.1949999999999,0.46211862197920084,247.185,0.28870175602520454,0.3661190382832116,1.0
2014-08-10 22:07:12,2014-08-25 22:07:12,180.75556119402984,837.3,0.1965749562048984,856.1949999999999,0.46211862197920084,-18.895,-0.02206857082790714,-0.5746223007352733,1.0
2014-08-15 22:07:12,2014-08-30 22:07:12,179.83539814814816,1015.2,0.9201630458816794,856.1949999999999,0.46211862197920084,159.005,0.18571119896752508,0.9911836531077822,1.0
2014-08-20 22:07:12,2014-09-04 22:07:12,181.14816121495326,1056.62,1.312763066805104,856.1949999999999,0.46211862197920084,200.425,0.2340880290120826,1.8407491158497162,1.0
2014-08-25 22:07:12,2014-09-09 22:07:12,181.5301441860465,987.0,0.38198297109323676,856.1949999999999,0.46211862197920084,130.805,0.15277477677398266,-0.17340926566160075,-1.0
2014-08-30 22:07:12,2014-09-14 22:07:12,180.52163194444444,937.73,1.0085122416020624,856.1949999999999,0.46211862197920084,81.535,0.09522947459398856,1.1823665908175713,1.0
2014-09-04 22:07:12,2014-09-19 22:07:12,179.52657276995308,894.9,0.9950591744913595,856.1949999999999,0.46211862197920084,38.705,0.04520582343975388,1.1532548725901495,1.0
2014-09-09 22:07:12,2014-09-24 22:07:12,178.76861111111108,799.33,0.7579616588419924,856.1949999999999,0.46211862197920084,-56.865,-0.06641594496580794,0.6401885204186966,-1.0
2014-09-14 22:07:12,2014-09-29 22:07:12,180.13917411764706,1117.1,1.3705630065359742,856.1949999999999,0.46211862197920084,260.905,0.3047261429931265,1.965825096305383,1.0
2014-09-19 22:07:12,2014-10-04 22:07:12,181.25331678486998,1028.0,1.1141426672229215,856.1949999999999,0.46211862197920084,171.805,0.2006610643603386,1.4109451864354154,1.0
2014-09-24 22:07:12,2014-10-09 22:07:12,180.53213501144165,1211.9,0.7211817734283272,856.1949999999999,0.46211862197920084,355.705,0.4154485835586521,0.5605988140871465,1.0
2014-09-29 22:07:12,2014-10-14 22:07:12,179.45031002331004,1222.94,1.0818249881316149,856.1949999999999,0.46211862197920084,366.745,0.4283428424599538,1.3410114561025113,1.0
2014-10-04 22:07:12,2014-10-19 22:07:12,178.8773427895981,1123.6,0.5729672337119496,856.1949999999999,0.46211862197920084,267.405,0.3123178715129147,0.23987047147764118,1.0
2014-10-09 22:07:12,2014-10-24 22:07:12,179.49690265486726,1023.2,0.6195598652691672,856.1949999999999,0.46211862197920084,167.005,0.19505486483803347,0.3406944360209152,1.0
2014-10-14 22:07:12,2014-10-29 22:07:12,180.36090000000002,964.2,0.8639973451327592,856.1949999999999,0.46211862197920084,108.005,0.12614532904303366,0.8696440784670352,1.0
2014-10-19 22:07:12,2014-11-03 22:07:12,178.84839069767443,949.8,1.512509302325583,856.1949999999999,0.46211862197920084,93.605,0.1093267304761183,2.272989294064108,1.0
2014-10-24 22:07:12,2014-11-08 22:07:12,178.31663448275864,1064.61,0.531756214915788,856.1949999999999,0.46211862197920084,208.415,0.2434200153002528,0.15069202932861114,1.0
2014-10-29 22:07:12,2014-11-13 22:07:12,178.24910185185183,1666.6,0.06753263090681116,856.1949999999999,0.46211862197920084,810.405,0.9465191924736771,-0.8538629960039769,-1.0
2014-11-03 22:07:12,2014-11-18 22:07:12,177.51419406392694,1193.53,0.7349077879248966,856.1949999999999,0.46211862197920084,337.335,0.39399319080349704,0.5903011758698908,1.0
2014-11-08 22:07:12,2014-11-23 22:07:12,177.84563191489363,1229.3,0.33143785096669376,856.1949999999999,0.46211862197920084,373.105,0.4357710568270079,-0.28278620422785905,-1.0
2014-11-13 22:07:12,2014-11-28 22:07:12,179.57960352422907,1089.7,1.7339716093354411,856.1949999999999,0.46211862197920084,233.505,0.27272408738663523,2.7522218903645137,1.0
