date eq,A,date pa,B,c
2015-03-08 22:07:12,-0.12525217591792048,2015-02-21 22:07:12,-0.17988265980356377,1.0
2015-03-13 22:07:12,-0.04109746959478944,2015-02-26 22:07:12,-0.06942175334756473,1.0
2015-03-18 22:07:12,-0.10484754164505161,2015-03-03 22:07:12,-0.10533497408878201,1.0
2015-03-23 22:07:12,-0.05272926393452071,2015-03-08 22:07:12,1.888313105737955,-1.0
2015-03-28 22:07:12,0.1930831748227564,2015-03-13 22:07:12,-0.10198401548685421,-1.0
2015-04-02 22:07:12,-0.1492535592829558,2015-03-18 22:07:12,-0.46116761547809804,1.0
2015-04-07 22:07:12,-0.12363825004323015,2015-03-23 22:07:12,0.8923069834065598,-1.0
2015-04-12 22:07:12,-0.1198339961957462,2015-03-28 22:07:12,-0.11429726161358733,1.0
2015-04-17 22:07:12,0.0004034814686724175,2015-04-02 22:07:12,0.2328695865833923,1.0
2015-04-22 22:07:12,0.39069687013660714,2015-04-07 22:07:12,-0.8431874092485461,-1.0
2015-04-27 22:07:12,-0.03648625280996032,2015-04-12 22:07:12,-0.5689548237664919,1.0
2015-05-02 22:07:12,0.6895498299613809,2015-04-17 22:07:12,0.3759805939471954,1.0
2015-05-07 22:07:12,0.6549195919073143,2015-04-22 22:07:12,-0.4836830382406415,-1.0
2015-05-12 22:07:12,0.10576978500201739,2015-04-27 22:07:12,-0.1633635687048154,-1.0
2015-05-17 22:07:12,0.25908121505562276,2015-05-02 22:07:12,1.1225299682489096,1.0
2015-05-22 22:07:12,0.19296789440313544,2015-05-07 22:07:12,-0.18517269918697465,-1.0
2015-05-27 22:07:12,-0.00040348146867252854,2015-05-12 22:07:12,0.15756049854863763,-1.0
2015-06-01 22:07:12,-0.13205372067554333,2015-05-17 22:07:12,0.816426304078701,-1.0
2015-06-06 22:07:12,0.2495244682690645,2015-05-22 22:07:12,1.8447759289016328,1.0
2015-06-11 22:07:12,-0.08709435702345969,2015-05-27 22:07:12,-0.4770537083804215,1.0
2015-06-16 22:07:12,-0.199838607412531,2015-06-01 22:07:12,1.2088829217463903,-1.0
2015-06-21 22:07:12,-0.08501930947028646,2015-06-06 22:07:12,-0.9560017136637539,1.0
2015-06-26 22:07:12,-0.05435471785117307,2015-06-11 22:07:12,0.09811633354884441,-1.0
2015-07-01 22:07:12,0.2034468845466597,2015-06-16 22:07:12,-0.5124411254629413,-1.0
2015-07-06 22:07:12,0.047899014352412284,2015-06-21 22:07:12,7.904025291611928,1.0
2015-07-11 22:07:12,0.11026572136722579,2015-06-26 22:07:12,4.817017697360764,1.0
2015-07-16 22:07:12,-0.0394835437200991,2015-07-01 22:07:12,2.158541478340995,-1.0
2015-07-21 22:07:12,-0.09700847311084226,2015-07-06 22:07:12,-0.752499182262203,1.0
2015-07-26 22:07:12,0.2545968067323763,2015-07-11 22:07:12,0.6616806993653161,1.0
2015-07-31 22:07:12,-0.022883163294714404,2015-07-16 22:07:12,0.23739479749133796,-1.0
2015-08-05 22:07:12,0.05181854861951685,2015-07-21 22:07:12,-0.8886586250627342,-1.0
2015-08-10 22:07:12,0.052279670297999736,2015-07-26 22:07:12,-0.9422964159567853,-1.0
2015-08-15 22:07:12,-0.08443137933022071,2015-07-31 22:07:12,0.06294445604915144,-1.0
2015-08-20 22:07:12,-0.04616980805810145,2015-08-05 22:07:12,-0.33986906361684777,1.0
2015-08-25 22:07:12,-0.09308893884373737,2015-08-10 22:07:12,-0.08139859097546975,1.0
2015-08-30 22:07:12,0.1111303245143811,2015-08-15 22:07:12,1.2867489885657042,1.0
2015-09-04 22:07:12,0.42325206063750054,2015-08-20 22:07:12,0.697705077089102,1.0
2015-09-09 22:07:12,0.029108305954233638,2015-08-25 22:07:12,0.2739756558277251,1.0
2015-09-14 22:07:12,2.0307222318289235,2015-08-30 22:07:12,0.8743676797840836,1.0
2015-09-19 22:07:12,0.6693757565277536,2015-09-04 22:07:12,-0.6605447534577125,-1.0
2015-09-24 22:07:12,0.22404749553288372,2015-09-09 22:07:12,-0.807186300054244,-1.0
2015-09-29 22:07:12,0.09458758429880687,2015-09-14 22:07:12,-0.31035399556239296,-1.0
2015-10-04 22:07:12,-0.06011873883220942,2015-09-19 22:07:12,-0.4663748757829079,1.0
2016-01-17 22:07:12,-0.05297135281572429,2016-01-02 22:07:12,0.8330128686176299,-1.0
2016-01-22 22:07:12,-0.06391146463773134,2016-01-07 22:07:12,-0.6826052960253357,1.0
2016-01-27 22:07:12,-0.0373739120410399,2016-01-12 22:07:12,-0.021458904879786744,1.0
2016-02-01 22:07:12,0.03199031644475192,2016-01-17 22:07:12,0.32179612988052386,1.0
2016-02-06 22:07:12,-0.11349357311660624,2016-01-22 22:07:12,-0.06788538807714328,1.0
2016-02-11 22:07:12,-0.05873537379676064,2016-01-27 22:07:12,0.1255171175507006,-1.0
2016-02-16 22:07:12,0.10034007723788108,2016-02-01 22:07:12,0.5835247436589852,1.0
2016-02-21 22:07:12,-0.13566199780967214,2016-02-06 22:07:12,-0.5859301079193122,1.0
2016-02-26 22:07:12,0.026111015044094632,2016-02-11 22:07:12,-0.9566460323442293,-1.0
2016-03-02 22:07:12,0.001325724825638419,2016-02-16 22:07:12,0.32106988885810983,1.0
2016-03-07 22:07:12,-0.1681019078909448,2016-02-21 22:07:12,0.3173648875239843,-1.0
2016-03-12 22:07:12,-0.03602513113147732,2016-02-26 22:07:12,-0.41137282185404744,1.0
2016-03-17 22:07:12,-0.016093146579053585,2016-03-02 22:07:12,0.16028656093032323,-1.0
2016-03-22 22:07:12,-0.32353449766557163,2016-03-07 22:07:12,-0.6971339072931142,1.0
2016-03-27 22:07:12,-0.05640670932042202,2016-03-12 22:07:12,-0.4400084561547828,1.0
2016-04-01 22:07:12,0.28652948296731795,2016-03-17 22:07:12,0.20553674921865794,1.0
2016-04-06 22:07:12,0.03994466539858199,2016-03-22 22:07:12,0.7216762460903807,1.0
2016-04-11 22:07:12,0.5271197187157761,2016-03-27 22:07:12,-0.6607576194947931,-1.0
2016-04-16 22:07:12,0.39316387111649087,2016-04-01 22:07:12,0.31370423280641946,1.0
2016-04-21 22:07:12,0.169750417891521,2016-04-06 22:07:12,0.5467280909956251,1.0
2016-04-26 22:07:12,0.05008934232520601,2016-04-11 22:07:12,2.5919068773655027,1.0
