date,sum,count,median
2016-07-01 22:07:12,885.3,198,0
2016-07-06 22:07:12,820.8,181,0
2016-07-11 22:07:12,835.0,184,0
2016-07-16 22:07:12,888.42,196,0
2016-07-21 22:07:12,850.03,186,0
2016-07-26 22:07:12,903.53,202,0
2016-07-31 22:07:12,847.28,188,0
2016-08-05 22:07:12,717.39,161,0
2016-08-10 22:07:12,1091.0,239,0
2016-08-15 22:07:12,1559.4,342,0
2016-08-20 22:07:12,993.9,219,0
2016-08-25 22:07:12,970.79,217,0
2016-08-30 22:07:12,1588.57,347,0
2016-09-04 22:07:12,971.2,215,0
2016-09-09 22:07:12,852.3,189,0
2016-09-14 22:07:12,897.3,200,0
2016-09-19 22:07:12,1253.0,273,0
2016-09-24 22:07:12,972.68,215,0
2016-09-29 22:07:12,776.9,174,0
2016-10-04 22:07:12,717.7,160,0
2016-10-09 22:07:12,768.3,171,0
2016-10-14 22:07:12,834.0,186,0
2016-10-19 22:07:12,719.3,161,0
2016-10-24 22:07:12,797.11,175,0
2016-10-29 22:07:12,795.1,177,0
2016-11-03 22:07:12,781.86,175,0
2016-11-08 22:07:12,1281.1,278,0
2016-11-13 22:07:12,1340.6,300,0
2016-11-18 22:07:12,1535.6,339,0
2016-11-23 22:07:12,972.5,215,0
2016-11-28 22:07:12,747.6,166,0
2016-12-03 22:07:12,1062.05,231,0
2016-12-08 22:07:12,1616.6,354,0
2016-12-13 22:07:12,1550.54,337,0
2016-12-18 22:07:12,1244.0,272,0
2016-12-23 22:07:12,1062.6,235,0
2016-12-28 22:07:12,779.9,173,0
2017-01-02 22:07:12,1031.1,224,0
2017-01-07 22:07:12,849.1,186,0
2017-01-12 22:07:12,717.7,158,0
2017-01-17 22:07:12,810.4,179,0
2017-01-22 22:07:12,769.4,171,0
2017-01-27 22:07:12,786.3,173,0
2017-02-01 22:07:12,731.2,163,0
2017-02-06 22:07:12,664.9,145,0
2017-02-11 22:07:12,730.5,160,0
2017-02-16 22:07:12,672.12,150,0
2017-02-21 22:07:12,698.19,153,0
