date,pdf
30,0.00020290391392232648
29,0.0006425031810982614
28,0.004100170828818592
27,0.0020997205837274186
26,0.004774715061946812
25,0.0025045686701323784
24,0.0014493984047528048
23,0.0005164205676031724
22,0.0002586165140162534
21,0.00041258265186526916
20,0.0005164205676031724
19,0.0025045686701323784
18,0.0025045686701323784
17,0.011725500712537126
16,0.0020997205837274186
15,5.5080551654966887e-05
14,9.449653120756139e-05
13,0.00041258265186526916
12,7.236444889842202e-05
11,0.0005164205676031724
10,0.00020290391392232648
9,0.0025045686701323784
8,0.0017497671531061822
7,0.0020997205837274186
6,0.0005164205676031724
5,0.0025045686701323784
4,0.00041258265186526916
3,0.0009767044481656516
2,0.0025045686701323784
1,0.0002586165140162534
